"A","Psych Distress Girls 2002","Psych Distress Girls 2006","Psych Distress Girls 2010","Psych Distress Girls 2014","Psych Distress Girls 2018","STD_Psych Distress Girls 2018","GDP Per Capita 2002","GDP Per Capita 2006","GDP Per Capita 2010","GDP Per Capita 2014","GDP Per Capita 2018","LOG_GDP per Capita 2018","STD_GDP per capita 2018","Psych Distress Boys 2002","Psych Distress Boys 2006","Psych Distress Boys 2010","Psych Distress Boys 2014","Psych Distress Boys 2018","GINI 2006","GINI 2010","GINI 2014","GINI 2018","GINI 2002"
"Slovenia",0.216874,0.166079,0.142372,0.301348,0.278968,-0.7434489991059173,16942,32812,33350,33093,37995,4.5797264488462295,-0.29989832679394374,0.112434,0.080716,0.096693,0.115681,0.156014,24.4,24.9,25.7,24.6,"xx"
"Finland",0.202051,0.226667,0.217506,,0.331421,0.013426359050137136,41439,46412,45874,44976,48048,4.681675314854906,0.20558100771927404,,0.163826,0.156991,0.213983,0.222045,28.0,27.7,26.8,27.3,
"Austria",0.160755,0.124481,0.159208,0.182633,0.268328,-0.8969798516935749,47419,50840,51843,52932,55217,4.742072807250028,0.5660486640532298,0.123774,0.144376,0.134481,,0.178988,29.6,30.3,30.5,30.8,
"Belgium",0.218716,0.2317405,0.216058,0.2724955,0.3162125,-0.20602608188777602,43890,47212,47972,48748,51113,4.7085313719591415,0.3596936268660971,0.140252,0.127104,0.1155755,0.140454,0.170457,28.1,28.4,28.1,27.2,
"Germany",0.130294,0.158937,0.148558,0.18918,0.208975,-1.753419390569069,43417,45678,46999,50845,53431,4.727793302395854,0.47624600898105174,0.135306,0.094934,0.111724,0.161497,0.130531,31.0,30.3,30.9,31.8,"29.9"
"Denmark",0.184773,0.194051,0.181558,0.257012,0.248609,-1.1815169646800436,49204,53322,50825,52048,56178,4.749566273768639,0.6143691296323807,0.174068,0.154619,0.131936,0.154582,0.232817,25.9,27.2,28.4,28.2,
"Sweden",0.318158,0.281178,0.256889,0.348341,0.42268,1.3302564414088835,41870,47292,47791,49259,52349,4.718908389956982,0.42184148894292367,0.079401,0.10544,0.084418,0.100372,0.123253,26.4,27.7,28.4,30.0,"25.8"
"UK",0.2601266667,0.2357696667,0.241255,0.2767753333,0.3499593333,0.2809269339658482,40027,43404,42013,44026,46412,4.666630283571988,0.12332056891855543,0.19233,0.17805,0.18187,0.19002,0.23136,35.9,33.7,33.1,33.7,"35.1"
"Ireland",0.204929,0.205315,0.243738,0.280867,0.299238,-0.45096118125330215,52297,58741,53436,58266,83746,4.922964072790509,2.000527917443023,0.196659,0.158624,0.152366,0.188264,0.229867,32.7,32.3,31.9,30.6,"32.3"
"Netherlands",0.198869,0.16982,0.177198,0.259102,0.222965,-1.5515494067625526,47958,51097,52032,52187,56060,4.7486530934242674,0.6084359194988325,0.200799,0.20252,0.193444,0.224806,0.265965,30.0,27.8,28.6,28.1,
"Switzerland",0.186818,0.242069,0.242424,0.274358,0.282414,-0.6937246271118318,59250,63318,65262,66930,69629,4.842790157955983,1.2907048034150617,0.181635,0.185688,0.164411,0.172448,0.228205,33.9,32.6,32.5,33.1,"31.7"
"Iceland",,0.243501,0.235795,0.278692,0.314244,-0.23443073257563335,42484,49956,47457,50450,56816,4.75447065495754,0.6464486895069885,0.159937,0.144182,0.168592,0.153141,0.199352,30.2,26.2,27.8,,
"Estonia",0.287795,0.267176,0.259141,0.291876,0.375589,0.6507525523858202,20364,28814,26015,30494,34979,4.543807389456844,-0.45154715529209,0.196825,0.200936,0.17493,0.211632,,33.7,32.0,34.6,30.3,
"France",0.273362,0.307692,0.287318,0.346835,0.363027,0.4694880251108052,40381,42362,42145,43021,45245,4.6555705925491955,0.06464212632660028,0.10985,0.156425,0.145432,0.151111,0.148919,29.7,33.7,32.3,32.4,"31.8"
"Luxembourg",,0.293021,0.264824,0.347102,0.336108,0.08105785398231305,103307,113346,114343,113313,114164,5.057529176885622,3.5299888144113964,0.164439,0.199599,0.184974,0.187084,0.205896,30.9,30.5,31.2,35.4,"31.0"
"Italy",0.410794,0.406508,0.392165,0.457977,0.506359,2.5377102208903324,43915,44918,42664,39898,42045,4.6237143568159675,-0.09625848746453639,0.229436,0.192583,0.155862,0.149294,0.262305,33.7,34.7,34.7,35.2,
"Hungary",0.277385,0.271508,0.228105,0.289404,0.322762,-0.11151947295705583,21266,25413,24473,26476,31117,4.492997719864907,-0.645734083561268,0.241379,0.234958,0.230656,0.222683,0.274077,28.3,29.4,30.9,29.6,
"North Macedonia",0.306881,0.292343,0.268871,0.340648,,,10090,11770,13515,14596,16145,4.20803804935318,-1.3985478303365488,,0.187473,0.161415,0.177193,0.190476,,40.2,35.2,33.0,
"Malta",0.280957,0.374252,,0.352126,0.417625,1.2573148568383377,27482,29655,32915,37284,45116,4.654330587984711,0.05815582033314508,0.155791,0.14433,0.118343,0.12361,0.165875,28.0,29.0,29.0,28.7,
"Poland",0.331196,0.313406,0.319406,0.353839,0.396795,0.9567464677968984,16727,20012,23692,26488,31739,4.501593239327352,-0.6144590267556159,0.210593,0.308282,,0.239151,0.296203,34.7,33.2,32.8,30.2,
"Portugal",0.267785,0.196624,0.200843,0.211831,0.306163,-0.35103626074864686,30823,31524,31798,30444,34040,4.5319895514125506,-0.4987614291514267,0.160661,0.100917,0.123856,0.095238,0.169529,38.1,35.8,35.6,33.5,
"Latvia",0.294749,0.329935,0.278628,0.316567,0.380583,0.7228139318804407,15157,22975,21173,25423,30051,4.477858928493696,-0.6993341005304404,0.214597,0.194444,0.168899,0.153194,0.238298,35.6,35.0,35.1,35.1,
"Bulgaria",,0.347808,,0.407672,0.379898,0.71292966176554,12037,15906,18164,19203,22196,4.346274716142128,-1.0942948259458714,0.196927,0.215385,0.195133,0.183045,0.225204,35.7,35.7,37.4,41.3,
"Czech Republic",0.268226,0.315857,0.340243,0.332826,0.342388,0.17167568802841193,26289,32352,33483,34386,39941,4.601418934071117,-0.20205064103220874,0.18055,0.208847,0.249396,0.2117,0.214734,26.7,26.6,25.9,25.0,"26.6"
"Croatia",0.264961,0.28295,0.249456,0.29559,0.285418,-0.6503781345203539,20776,24999,24643,24170,28288,4.451602243332979,-0.7879802824409948,0.16785,0.178692,0.164908,0.164621,0.175984,,32.4,32.1,29.7,
"Slovakia",,0.346349,0.306176,0.330733,0.350046,0.2821774990355814,16942,21784,25630,27416,31313,4.49572467799798,-0.635878920966561,,0.433771,0.487966,,0.459867,25.8,27.3,26.1,25.0,
"Russia",0.273155,0.299569,0.302982,0.292869,0.286169,-0.6395415113724844,16175,21757,23961,26057,26656,4.425794979726693,-0.8700395954744745,,0.280932,0.231971,0.22549,0.257496,41.0,39.5,39.9,37.5,
"Romania",,0.395077,0.354801,0.348697,0.373944,0.6270158745186494,13986,18325,20415,23091,28736,4.458426314987211,-0.7654541965102357,,0.257843,0.242376,0.19909,0.268777,39.6,35.5,36.0,35.8,
"Greece",0.453092,0.433716,0.372533,0.365554,0.441238,1.5980407987699508,31249,36519,33693,28129,29141,4.4645044509010345,-0.745090212577295,0.359675,0.395672,0.345455,0.312886,0.34664,35.1,34.1,35.8,32.9,
"Norway",0.23595,0.210334,0.252582,0.216053,0.215247,-1.6629169932542391,58850,63303,61672,62838,64696,4.810877430102559,1.0426664509676624,0.144254,0.141678,0.135135,0.10557,0.141878,26.4,25.7,26.8,27.6,
"Lithuania",0.360029,0.342461,0.313917,0.305406,0.31014,-0.293649775716587,16004,22978,23942,29855,35446,4.549567233145539,-0.42806572196694603,,,0.278253,0.225687,0.25504,34.4,33.6,37.7,35.7,
"Ukraine",0.405305,0.368298,0.347319,0.2597,0.400183,1.0056339234892842,8765,12259,12221,12385,12336,4.091174360706882,-1.5900698421898112,0.186966,0.195931,0.200826,0.162831,0.169364,29.8,24.8,24.0,26.1,"29.0"
"Spain",0.344127,0.268431,0.276394,0.256861,0.242001,-1.276867704708168,36336,38857,37318,35983,40276,4.605046332184747,-0.18520635802594912,0.241429,0.174551,0.18178,0.145111,0.117874,33.5,35.2,36.1,34.7,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
